frameId,pointNum,posX,posY,posX,doppler,time
277,67,1.419600,-0.275312,0.254829,0.166382,2021-03-14 14:09:27.844444
277,67,1.898814,-0.367083,0.304371,0.166382,2021-03-14 14:09:27.844444
277,67,2.402494,-0.458854,0.079746,0.166382,2021-03-14 14:09:27.844444
277,67,1.018996,2.217792,-0.178679,0.166382,2021-03-14 14:09:27.844444
277,67,2.640416,-1.284790,0.038864,0.166382,2021-03-14 14:09:27.844444
277,67,3.123476,-1.391856,0.211763,0.166382,2021-03-14 14:09:27.844444
277,67,3.378761,-0.978888,1.719678,0.166382,2021-03-14 14:09:27.844444
277,67,3.284730,0.963593,2.772366,0.166382,2021-03-14 14:09:27.844444
277,67,2.671328,-0.688280,3.434276,0.166382,2021-03-14 14:09:27.844444
277,67,4.453343,-1.988365,0.411907,0.166382,2021-03-14 14:09:27.844444
277,67,4.890656,-2.018956,0.995733,0.166382,2021-03-14 14:09:27.844444
277,67,4.444710,-0.367083,3.821749,0.166382,2021-03-14 14:09:27.844444
277,67,0.947132,-0.152951,0.194341,0.249573,2021-03-14 14:09:27.844444
277,67,1.423487,-0.229427,0.277571,0.249573,2021-03-14 14:09:27.844444
277,67,1.901311,-0.305902,0.352598,0.249573,2021-03-14 14:09:27.844444
277,67,2.291415,-0.841232,0.175007,0.249573,2021-03-14 14:09:27.844444
277,67,2.668856,-1.193019,0.279113,0.249573,2021-03-14 14:09:27.844444
277,67,3.110009,-1.391856,0.358877,0.249573,2021-03-14 14:09:27.844444
277,67,3.768366,-0.734166,0.769388,0.249573,2021-03-14 14:09:27.844444
277,67,3.772267,-2.064841,-0.954152,0.249573,2021-03-14 14:09:27.844444
277,67,1.668004,1.238905,-3.884180,0.249573,2021-03-14 14:09:27.844444
277,67,4.471305,-1.988366,0.096735,0.249573,2021-03-14 14:09:27.844444
277,67,2.127281,1.376561,-4.187515,0.249573,2021-03-14 14:09:27.844444
277,67,4.760106,-1.850709,1.703658,0.249573,2021-03-14 14:09:27.844444
277,67,0.862520,-0.397673,-0.236932,0.332764,2021-03-14 14:09:27.844444
277,67,0.938556,-0.122361,0.249722,0.332764,2021-03-14 14:09:27.844444
277,67,1.291941,-0.596510,-0.362025,0.332764,2021-03-14 14:09:27.844444
277,67,1.410756,-0.183541,0.363424,0.332764,2021-03-14 14:09:27.844444
